sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,remSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro
2022-09-05T03:57:00.0,2022-09-05T13:58:00.0,2022-09-05,ENHANCED_CONFIRMED,2940,22560,10140,420,0,false
2022-09-06T03:51:00.0,2022-09-06T13:02:00.0,2022-09-06,ENHANCED_CONFIRMED,1980,19260,11700,120,0,false
2022-09-07T04:35:00.0,2022-09-07T13:00:00.0,2022-09-07,ENHANCED_CONFIRMED,1260,16320,12660,60,0,false
2022-09-08T03:38:00.0,2022-09-08T13:46:00.0,2022-09-08,ENHANCED_CONFIRMED,3720,20640,10380,180,1560,false
2022-09-09T04:06:00.0,2022-09-09T13:01:00.0,2022-09-09,ENHANCED_CONFIRMED,1980,17100,12840,180,0,false
2022-09-10T04:31:00.0,2022-09-10T13:45:00.0,2022-09-10,ENHANCED_CONFIRMED,0,17580,15540,120,0,false
2022-09-11T04:30:00.0,2022-09-11T15:09:00.0,2022-09-11,ENHANCED_CONFIRMED,4080,23640,10380,240,0,false
2022-09-12T04:30:00.0,2022-09-12T13:45:00.0,2022-09-12,ENHANCED_CONFIRMED,2640,19620,11040,0,0,false
2022-09-13T04:11:00.0,2022-09-13T13:02:00.0,2022-09-13,ENHANCED_CONFIRMED,0,16740,13800,360,960,false
2022-09-14T04:09:00.0,2022-09-14T13:01:00.0,2022-09-14,ENHANCED_CONFIRMED,1200,16800,11700,660,1560,false
2022-09-15T03:17:00.0,2022-09-15T13:11:00.0,2022-09-15,ENHANCED_CONFIRMED,60,18960,16440,180,0,false
2022-09-16T05:03:00.0,2022-09-16T13:45:00.0,2022-09-16,ENHANCED_CONFIRMED,2100,15840,10800,60,2520,false
2022-09-17T05:29:00.0,2022-09-17T14:48:00.0,2022-09-17,ENHANCED_CONFIRMED,960,15300,16560,60,660,false
2022-09-18T04:56:00.0,2022-09-18T14:42:00.0,2022-09-18,ENHANCED_CONFIRMED,0,17520,17400,240,0,false
2022-09-19T04:30:00.0,2022-09-19T13:47:00.0,2022-09-19,ENHANCED_CONFIRMED,300,19260,13500,360,0,false
2022-09-20T04:46:00.0,2022-09-20T13:01:00.0,2022-09-20,ENHANCED_CONFIRMED,1320,17700,10560,120,0,false
2022-09-21T04:32:00.0,2022-09-21T13:01:00.0,2022-09-21,ENHANCED_CONFIRMED,780,16320,13200,240,0,false
2022-09-22T04:38:00.0,2022-09-22T13:00:00.0,2022-09-22,ENHANCED_CONFIRMED,0,17160,12900,60,0,false
2022-09-23T04:22:00.0,2022-09-23T13:01:00.0,2022-09-23,ENHANCED_CONFIRMED,300,16200,14640,0,0,false
2022-09-24T05:13:00.0,2022-09-24T15:01:00.0,2022-09-24,ENHANCED_CONFIRMED,1020,20400,13560,300,0,false
2022-09-25T04:52:00.0,2022-09-25T14:30:00.0,2022-09-25,ENHANCED_CONFIRMED,1500,18900,13680,600,0,false
2022-09-26T04:37:00.0,2022-09-26T13:00:00.0,2022-09-26,ENHANCED_CONFIRMED,3600,16620,8640,60,1260,false
2022-09-27T04:13:00.0,2022-09-27T13:02:00.0,2022-09-27,ENHANCED_CONFIRMED,3300,16440,11520,480,0,false
2022-09-28T04:38:00.0,2022-09-28T13:01:00.0,2022-09-28,ENHANCED_CONFIRMED,1740,18060,10080,300,0,false
2022-09-29T04:23:00.0,2022-09-29T13:00:00.0,2022-09-29,ENHANCED_CONFIRMED,1020,20040,9900,60,0,false
2022-09-30T04:24:00.0,2022-09-30T12:58:00.0,2022-09-30,ENHANCED_CONFIRMED,600,16260,11760,0,2220,false
2022-10-01T05:31:00.0,2022-10-01T14:14:00.0,2022-10-01,ENHANCED_CONFIRMED,720,16560,14100,0,0,false
2022-10-02T04:59:00.0,2022-10-02T14:10:00.0,2022-10-02,ENHANCED_CONFIRMED,900,18720,12240,0,1200,false
2022-10-03T04:35:00.0,2022-10-03T13:01:00.0,2022-10-03,ENHANCED_CONFIRMED,420,15900,14040,0,0,false
2022-10-04T04:21:00.0,2022-10-04T14:28:00.0,2022-10-04,ENHANCED_CONFIRMED,1560,19620,13620,600,1020,false
2022-10-05T04:34:00.0,2022-10-05T13:01:00.0,2022-10-05,ENHANCED_CONFIRMED,2640,15480,12240,60,0,false
2022-10-06T04:30:00.0,2022-10-06T14:34:00.0,2022-10-06,ENHANCED_CONFIRMED,1200,22920,11820,300,0,false
2022-10-07T04:13:00.0,2022-10-07T13:01:00.0,2022-10-07,ENHANCED_CONFIRMED,2520,19740,8880,540,0,false
2022-10-08T04:08:00.0,2022-10-08T14:04:00.0,2022-10-08,ENHANCED_CONFIRMED,2040,21240,12000,480,0,false
2022-10-09T02:31:00.0,2022-10-09T12:01:00.0,2022-10-09,ENHANCED_CONFIRMED,720,18780,14160,540,0,false
2022-10-10T04:58:00.0,2022-10-10T14:30:00.0,2022-10-10,ENHANCED_CONFIRMED,960,17340,15780,240,0,false
2022-10-11T04:17:00.0,2022-10-11T13:14:00.0,2022-10-11,ENHANCED_CONFIRMED,0,17280,12900,0,2040,false
2022-10-12T04:33:00.0,2022-10-12T13:31:00.0,2022-10-12,ENHANCED_CONFIRMED,0,20820,11460,0,0,false
2022-10-13T04:21:00.0,2022-10-13T13:02:00.0,2022-10-13,ENHANCED_CONFIRMED,2520,17040,11640,60,0,false
2022-10-14T04:16:00.0,2022-10-14T13:20:00.0,2022-10-14,ENHANCED_CONFIRMED,4860,19380,7980,420,0,false
2022-10-15T01:53:00.0,2022-10-15T14:08:00.0,2022-10-15,ENHANCED_CONFIRMED,1560,25200,13980,3360,0,false
2022-10-16T03:08:00.0,2022-10-16T14:02:00.0,2022-10-16,ENHANCED_CONFIRMED,2400,21480,15180,180,0,false
2022-10-17T04:24:00.0,2022-10-17T13:00:00.0,2022-10-17,ENHANCED_CONFIRMED,2580,19320,7560,480,1020,false
2022-10-18T04:13:00.0,2022-10-18T13:08:00.0,2022-10-18,ENHANCED_CONFIRMED,0,21660,10080,360,0,false
2022-10-19T04:32:00.0,2022-10-19T13:01:00.0,2022-10-19,ENHANCED_CONFIRMED,1920,18660,9840,120,0,false
2022-10-20T04:35:00.0,2022-10-20T13:07:00.0,2022-10-20,ENHANCED_CONFIRMED,2340,18480,9480,420,0,false
2022-10-21T04:16:00.0,2022-10-21T13:01:00.0,2022-10-21,ENHANCED_CONFIRMED,0,18480,12840,180,0,false
2022-10-22T04:59:00.0,2022-10-22T14:01:00.0,2022-10-22,ENHANCED_CONFIRMED,1440,19800,11100,180,0,false
2022-10-23T03:44:00.0,2022-10-23T14:39:00.0,2022-10-23,ENHANCED_CONFIRMED,3300,18600,16020,1380,0,false
2022-10-24T05:00:00.0,2022-10-24T13:01:00.0,2022-10-24,ENHANCED_CONFIRMED,0,16680,11880,300,0,false
2022-10-25T04:37:00.0,2022-10-25T13:00:00.0,2022-10-25,ENHANCED_CONFIRMED,0,16860,12720,600,0,false
2022-10-26T05:12:00.0,2022-10-26T13:01:00.0,2022-10-26,ENHANCED_CONFIRMED,360,12900,14880,0,0,false
2022-10-27T04:50:00.0,2022-10-27T13:01:00.0,2022-10-27,ENHANCED_CONFIRMED,1080,18720,9420,240,0,false
2022-10-28T02:18:00.0,2022-10-28T13:00:00.0,2022-10-28,ENHANCED_CONFIRMED,2640,18540,14100,600,2640,false
2022-10-29T04:29:00.0,2022-10-29T15:02:00.0,2022-10-29,ENHANCED_CONFIRMED,840,21660,14520,960,0,false
2022-10-30T04:25:00.0,2022-10-30T15:31:00.0,2022-10-30,OFF_WRIST,0,0,,0,0,false
2022-10-31T05:16:00.0,2022-10-31T12:53:00.0,2022-10-31,ENHANCED_CONFIRMED,2820,16680,7920,0,0,false
2022-11-01T04:16:00.0,2022-11-01T13:01:00.0,2022-11-01,ENHANCED_CONFIRMED,360,19800,10980,360,0,false
2022-11-02T05:06:00.0,2022-11-02T13:00:00.0,2022-11-02,ENHANCED_CONFIRMED,0,14400,14040,0,0,false
2022-11-03T04:19:00.0,2022-11-03T13:01:00.0,2022-11-03,ENHANCED_CONFIRMED,0,18720,12480,120,0,false
2022-11-04T02:29:00.0,2022-11-04T13:01:00.0,2022-11-04,ENHANCED_CONFIRMED,0,25800,11700,420,0,false
2022-11-05T04:21:00.0,2022-11-05T14:00:00.0,2022-11-05,ENHANCED_CONFIRMED,0,17880,16800,60,0,false
2022-11-06T04:51:00.0,2022-11-06T14:59:00.0,2022-11-06,ENHANCED_CONFIRMED,1560,21120,13620,180,0,false
2022-11-07T05:45:00.0,2022-11-07T14:00:00.0,2022-11-07,ENHANCED_CONFIRMED,360,16140,13140,60,0,false
2022-11-08T05:21:00.0,2022-11-08T14:01:00.0,2022-11-08,ENHANCED_CONFIRMED,0,17520,13440,240,0,false
2022-11-09T05:04:00.0,2022-11-09T14:01:00.0,2022-11-09,ENHANCED_CONFIRMED,4020,17820,10080,300,0,false
2022-11-10T06:18:00.0,2022-11-10T14:01:00.0,2022-11-10,ENHANCED_CONFIRMED,0,15060,11760,0,960,false
2022-11-11T05:40:00.0,2022-11-11T14:00:00.0,2022-11-11,ENHANCED_CONFIRMED,0,16320,13560,120,0,false
2022-11-12T07:19:00.0,2022-11-12T15:00:00.0,2022-11-12,ENHANCED_CONFIRMED,1500,16140,8880,1140,0,false
2022-11-13T07:06:00.0,2022-11-13T15:31:00.0,2022-11-13,ENHANCED_CONFIRMED,2940,16620,10740,0,0,false
2022-11-14T05:53:00.0,2022-11-14T14:03:00.0,2022-11-14,ENHANCED_CONFIRMED,1140,19140,8340,0,780,false
2022-11-15T05:46:00.0,2022-11-15T14:03:00.0,2022-11-15,ENHANCED_CONFIRMED,420,18420,7860,0,3120,false
2022-11-16T06:30:00.0,2022-11-16T14:01:00.0,2022-11-16,ENHANCED_CONFIRMED,0,16920,10080,60,0,false
2022-11-17T06:06:00.0,2022-11-17T15:03:00.0,2022-11-17,ENHANCED_CONFIRMED,2760,15480,13500,480,0,false
2022-11-18T05:10:00.0,2022-11-18T14:00:00.0,2022-11-18,ENHANCED_CONFIRMED,1380,20160,9960,300,0,false
2022-11-19T06:39:00.0,2022-11-19T14:01:00.0,2022-11-19,ENHANCED_CONFIRMED,1380,13380,9540,360,1860,false
2022-11-20T05:26:00.0,2022-11-20T14:50:00.0,2022-11-20,ENHANCED_CONFIRMED,0,20340,13260,240,0,false
2022-11-21T06:05:00.0,2022-11-21T14:01:00.0,2022-11-21,ENHANCED_CONFIRMED,2460,15120,10980,0,0,false
2022-11-22T06:06:00.0,2022-11-22T13:57:00.0,2022-11-22,ENHANCED_CONFIRMED,2520,15180,10020,540,0,false
2022-11-23T05:43:00.0,2022-11-23T14:03:00.0,2022-11-23,ENHANCED_CONFIRMED,540,18120,11280,60,0,false
2022-11-24T05:48:00.0,2022-11-24T14:00:00.0,2022-11-24,ENHANCED_CONFIRMED,1200,14880,13320,120,0,false
2022-11-25T04:35:00.0,2022-11-25T14:07:00.0,2022-11-25,OFF_WRIST,0,0,,0,0,false
2022-11-26T04:40:00.0,2022-11-26T16:40:00.0,2022-11-26,ENHANCED_CONFIRMED,1920,27300,12000,1980,0,false
2022-11-27T04:58:00.0,2022-11-27T14:03:00.0,2022-11-27,ENHANCED_CONFIRMED,720,20640,10260,180,900,false
2022-11-28T05:48:00.0,2022-11-28T14:01:00.0,2022-11-28,ENHANCED_CONFIRMED,0,14160,14580,840,0,false
2022-11-29T04:34:00.0,2022-11-29T14:01:00.0,2022-11-29,ENHANCED_CONFIRMED,2100,15180,15840,900,0,false
2022-11-30T05:37:00.0,2022-11-30T14:01:00.0,2022-11-30,ENHANCED_CONFIRMED,1560,18600,9180,120,720,false
2022-12-01T05:28:00.0,2022-12-01T14:04:00.0,2022-12-01,ENHANCED_CONFIRMED,900,17340,12720,0,0,false
2022-12-02T05:25:00.0,2022-12-02T14:00:00.0,2022-12-02,ENHANCED_CONFIRMED,180,16440,13860,420,0,false
2022-12-03T04:11:00.0,2022-12-03T14:30:00.0,2022-12-03,ENHANCED_CONFIRMED,2040,17880,16560,660,0,false
2022-12-04T04:36:00.0,2022-12-04T16:01:00.0,2022-12-04,ENHANCED_CONFIRMED,0,21600,18840,660,0,false
2022-12-05T06:13:00.0,2022-12-05T14:00:00.0,2022-12-05,ENHANCED_CONFIRMED,0,15540,12480,0,0,false
2022-12-06T05:07:00.0,2022-12-06T14:02:00.0,2022-12-06,ENHANCED_CONFIRMED,0,21180,10620,300,0,false
2022-12-07T06:04:00.0,2022-12-07T14:01:00.0,2022-12-07,ENHANCED_CONFIRMED,0,18900,9720,0,0,false
2022-12-08T05:55:00.0,2022-12-08T14:00:00.0,2022-12-08,ENHANCED_CONFIRMED,0,16380,12660,60,0,false
2022-12-09T05:42:00.0,2022-12-09T14:01:00.0,2022-12-09,ENHANCED_CONFIRMED,0,14280,14520,60,1080,false
2022-12-10T04:25:00.0,2022-12-10T15:01:00.0,2022-12-10,ENHANCED_CONFIRMED,0,17640,19680,840,0,false
2022-12-11T06:16:00.0,2022-12-11T17:34:00.0,2022-12-11,ENHANCED_CONFIRMED,2760,23640,13860,420,0,false
2022-12-12T06:08:00.0,2022-12-12T14:03:00.0,2022-12-12,ENHANCED_CONFIRMED,2520,17040,8940,0,0,false
2022-12-13T02:13:00.0,2022-12-13T14:00:00.0,2022-12-13,ENHANCED_CONFIRMED,1320,26520,13140,1440,0,false
